outcome_d,intervention,fightcaphigh,mi_fightcap,troops2rebs,coup,land,lngdp,lnyears,postCW,outcome_dy,exgov_combat,strongrebs_dy,mi_strongrebs_dy,exreb_combat,coup_dy,land,lngdp,lnyears,postCW,dyad_id,year,conflictid,Government,Opposition
,,0,,,,1,6.2244,2.197225,0,0,0,0,0,0,0,1,6.2244,2.197225,0,53,1982,78,"Ethiopia","EPLF"
,,0,,,,1,6.2555,2.302585,0,0,0,0,0,0,0,1,6.2555,2.302585,0,53,1983,78,"Ethiopia","EPLF"
,,0,,,,1,6.146672,2.397895,0,0,0,0,0,0,0,1,6.146672,2.397895,0,53,1984,78,"Ethiopia","EPLF"
,,0,,,,1,6.135478,2.484907,0,0,0,0,0,0,0,1,6.135478,2.484907,0,53,1985,78,"Ethiopia","EPLF"
,,0,,,,1,6.140919,2.564949,0,0,0,0,0,0,0,1,6.140919,2.564949,0,53,1986,78,"Ethiopia","EPLF"
,,0,,,,1,5.90039,2.639057,0,0,0,0,0,0,0,1,5.90039,2.639057,0,53,1987,78,"Ethiopia","EPLF"
,,0,,,,1,6.141112,2.70805,0,0,0,0,0,0,0,1,6.141112,2.70805,0,53,1988,78,"Ethiopia","EPLF"
,,0,,,,1,6.064483,2.772589,0,0,0,0,0,0,0,1,6.064483,2.772589,0,53,1989,78,"Ethiopia","EPLF"
,,0,,,,1,6.139303,2.833213,1,0,0,0,0,0,0,1,6.139303,2.833213,1,53,1990,78,"Ethiopia","EPLF"
1,0,0,0,0,0,1,6.078032,2.944439,1,1,0,0,0,0,0,1,6.078032,2.944439,1,53,1991,78,"Ethiopia","EPLF"
,,0,,,,1,6.38962,0,1,0,0,0,0,0,0,1,6.38962,0,1,54,1994,133,"Ethiopia","ONLF"
,,0,,,,1,6.471032,.6931472,1,0,0,0,0,0,0,1,6.471032,.6931472,1,54,1996,133,"Ethiopia","ONLF"
,,0,,,,1,6.505919,1.098612,1,0,,0,0,,0,1,6.505919,1.098612,1,54,1998,133,"Ethiopia","ONLF"
,,0,,,,1,6.584087,1.386294,1,0,0,0,0,0,0,1,6.584087,1.386294,1,54,1999,133,"Ethiopia","ONLF"
,,0,,,,1,6.586682,1.609438,1,0,0,0,0,0,0,1,6.586682,1.609438,1,54,2000,133,"Ethiopia","ONLF"
,,0,,,,1,6.583949,1.791759,1,0,0,0,0,0,0,1,6.583949,1.791759,1,54,2001,133,"Ethiopia","ONLF"
,,0,,,,1,6.603849,1.94591,1,0,0,0,0,0,0,1,6.603849,1.94591,1,54,2002,133,"Ethiopia","ONLF"
,,0,,,,1,6.533091,2.079442,1,0,,0,0,,0,1,6.533091,2.079442,1,54,2003,133,"Ethiopia","ONLF"
,,0,,,,1,6.533091,2.197225,1,0,0,0,0,0,0,1,6.533091,2.197225,1,54,2004,133,"Ethiopia","ONLF"
,,0,,,,1,,2.302585,1,0,0,0,0,0,0,1,,2.302585,1,54,2005,133,"Ethiopia","ONLF"
,,0,,,,1,,2.397895,1,0,0,0,0,0,0,1,,2.397895,1,54,2006,133,"Ethiopia","ONLF"
,,0,,,,1,,2.484907,1,0,0,0,0,0,0,1,,2.484907,1,54,2007,133,"Ethiopia","ONLF"
,,0,,,,1,,2.564949,1,0,0,0,0,0,0,1,,2.564949,1,54,2008,133,"Ethiopia","ONLF"
,,0,,,,1,,2.639057,1,0,0,0,0,0,0,1,,2.639057,1,54,2009,133,"Ethiopia","ONLF"
,0,0,0,0,0,1,,2.833213,1,,,0,0,,0,1,,2.833213,1,54,2010,133,"Ethiopia","ONLF"
,,0,,,,1,6.19363,0,0,0,0,0,0,0,0,1,6.19363,0,0,55,1977,219,"Ethiopia","OLF"
,,0,,,,1,6.172786,.6931472,0,0,0,0,0,0,0,1,6.172786,.6931472,0,55,1978,219,"Ethiopia","OLF"
,,0,,,,1,6.225152,1.386294,0,0,0,0,0,0,0,1,6.225152,1.386294,0,55,1980,219,"Ethiopia","OLF"
